hidden_50.0_lr_0.001_alpha_0.0001_max_iter_200.0,607.66,615.52,607.42,615.05,621.12,613.35
hidden_50.0_lr_0.001_alpha_0.0001_max_iter_200.0,639.41,611.39,643.6,609.59,585.13,617.82
hidden_50.0_lr_0.001_alpha_0.0001_max_iter_500.0,560.51,568.75,556.0,569.24,575.36,565.97
hidden_50.0_lr_0.001_alpha_0.0001_max_iter_500.0,611.95,587.71,626.68,582.2,558.09,593.33
hidden_50.0_lr_0.001_alpha_0.0001_max_iter_1000.0,540.71,548.61,536.08,549.66,553.78,545.77
hidden_50.0_lr_0.001_alpha_0.0001_max_iter_1000.0,613.32,589.28,630.73,584.03,557.14,594.9
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_200.0,607.64,615.5,607.17,615.07,621.04,613.28
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_200.0,639.43,611.37,643.48,609.72,585.13,617.83
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_500.0,560.35,569.18,556.73,569.4,575.14,566.16
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_500.0,613.25,587.65,626.39,582.54,558.24,593.61
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_1000.0,540.15,547.86,536.03,549.16,553.64,545.37
hidden_50.0_lr_0.001_alpha_1e-05_max_iter_1000.0,613.68,589.45,631.24,583.45,557.0,594.96
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_200.0,607.62,615.5,607.42,615.08,621.04,613.33
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_200.0,639.45,611.37,643.59,609.71,585.14,617.85
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_500.0,560.01,569.17,556.99,569.2,575.14,566.1
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_500.0,612.93,587.54,627.17,582.46,558.37,593.69
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_1000.0,539.78,547.36,534.99,549.35,553.77,545.05
hidden_50.0_lr_0.001_alpha_1e-06_max_iter_1000.0,614.48,589.22,633.89,580.36,557.11,595.01
hidden_50.0_lr_0.0001_alpha_0.0001_max_iter_200.0,836.59,842.07,838.0,843.01,847.66,841.47
hidden_50.0_lr_0.0001_alpha_0.0001_max_iter_200.0,860.94,836.47,855.85,837.2,816.15,841.32
hidden_50.0_lr_0.0001_alpha_0.0001_max_iter_500.0,770.46,776.84,771.88,776.98,782.51,775.73
hidden_50.0_lr_0.0001_alpha_0.0001_max_iter_500.0,796.13,770.56,791.57,770.72,748.91,775.58
