train_n_100_lr_0.05_d_4_child_10,458.62,457.7,463.94,456.09,462.51,459.77
val_n_100_lr_0.05_d_4_child_10,469.89,475.68,455.55,484.38,460.29,469.16
train_n_100_lr_0.3_d_5_child_1,384.01,384.62,391.28,383.82,387.37,386.22
val_n_100_lr_0.3_d_5_child_1,471.99,480.57,457.02,483.21,461.48,470.85
train_n_100_lr_0.3_d_5_child_2,383.97,389.61,392.29,385.47,390.17,388.3
val_n_100_lr_0.3_d_5_child_2,468.33,480.15,453.61,484.03,460.92,469.41
train_n_100_lr_0.3_d_5_child_5,388.83,391.76,396.74,391.08,395.22,392.73
val_n_100_lr_0.3_d_5_child_5,468.47,480.64,452.85,481.92,462.2,469.22
train_n_100_lr_0.3_d_5_child_10,400.73,398.57,403.65,397.38,401.14,400.29
val_n_100_lr_0.3_d_5_child_10,471.2,475.33,454.37,485.13,461.68,469.54
train_n_100_lr_0.2_d_5_child_1,404.94,405.77,409.16,400.97,409.05,405.98
val_n_100_lr_0.2_d_5_child_1,466.58,472.0,448.2,479.33,456.53,464.53
train_n_100_lr_0.2_d_5_child_2,404.21,404.95,409.82,402.98,407.71,405.93
val_n_100_lr_0.2_d_5_child_2,464.85,474.45,451.56,477.27,460.27,465.68
train_n_100_lr_0.2_d_5_child_5,411.02,408.92,415.0,406.47,413.24,410.93
val_n_100_lr_0.2_d_5_child_5,463.86,473.74,447.65,478.79,454.27,463.66
train_n_100_lr_0.2_d_5_child_10,415.56,417.13,420.73,412.99,418.42,416.97
val_n_100_lr_0.2_d_5_child_10,463.64,471.54,448.59,477.24,455.63,463.33
train_n_100_lr_0.1_d_5_child_1,428.18,428.22,434.85,427.33,429.75,429.67
val_n_100_lr_0.1_d_5_child_1,463.67,471.6,445.63,478.03,456.03,462.99
train_n_100_lr_0.1_d_5_child_2,428.68,427.64,434.66,427.78,433.15,430.38
val_n_100_lr_0.1_d_5_child_2,462.95,471.66,445.72,478.51,455.73,462.91
train_n_100_lr_0.1_d_5_child_5,432.63,431.19,438.77,430.08,435.47,433.63
val_n_100_lr_0.1_d_5_child_5,463.08,469.88,447.07,476.12,455.28,462.29
train_n_100_lr_0.1_d_5_child_10,435.56,434.36,440.48,431.29,437.89,435.92
val_n_100_lr_0.1_d_5_child_10,463.93,470.22,446.51,477.45,454.71,462.56
train_n_100_lr_0.05_d_5_child_1,446.92,445.06,451.43,444.32,449.79,447.5
val_n_100_lr_0.05_d_5_child_1,466.93,472.75,451.48,482.11,457.61,466.18
train_n_100_lr_0.05_d_5_child_2,446.03,445.17,451.94,444.58,450.48,447.64
val_n_100_lr_0.05_d_5_child_2,466.57,472.95,451.07,480.58,457.9,465.81
train_n_100_lr_0.05_d_5_child_5,447.31,446.62,453.28,446.59,450.75,448.91
val_n_100_lr_0.05_d_5_child_5,465.3,472.54,451.31,481.95,456.49,465.52
train_n_100_lr_0.05_d_5_child_10,448.11,448.21,454.76,447.87,453.02,450.39
val_n_100_lr_0.05_d_5_child_10,465.96,472.56,451.36,481.32,456.73,465.59
train_n_100_lr_0.3_d_6_child_1,349.0,355.17,351.48,350.91,359.02,353.12
val_n_100_lr_0.3_d_6_child_1,478.13,487.62,460.62,491.69,464.48,476.51
train_n_100_lr_0.3_d_6_child_2,350.68,349.95,354.15,346.52,361.09,352.48
val_n_100_lr_0.3_d_6_child_2,476.98,485.43,464.42,488.54,469.13,476.9
train_n_100_lr_0.3_d_6_child_5,362.31,365.28,366.44,358.38,366.0,363.68
val_n_100_lr_0.3_d_6_child_5,476.55,484.46,462.08,491.32,469.21,476.72
train_n_100_lr_0.3_d_6_child_10,372.16,374.23,380.83,375.61,380.36,376.64
val_n_100_lr_0.3_d_6_child_10,477.03,482.26,457.84,487.55,463.96,473.73
train_n_100_lr_0.2_d_6_child_1,374.92,379.19,380.1,372.93,381.46,377.72
val_n_100_lr_0.2_d_6_child_1,468.7,477.09,453.2,481.56,463.32,468.77
train_n_100_lr_0.2_d_6_child_2,380.29,378.77,382.79,379.32,384.85,381.2
val_n_100_lr_0.2_d_6_child_2,469.46,476.15,450.67,481.39,461.25,467.78
train_n_100_lr_0.2_d_6_child_5,385.08,390.13,390.48,383.34,392.37,388.28
val_n_100_lr_0.2_d_6_child_5,467.7,473.15,452.86,481.01,459.65,466.87
train_n_100_lr_0.2_d_6_child_10,395.26,393.61,401.89,392.69,400.9,396.87
